Strain	Admin Division	Originating Lab	Submitting Lab	gisaid_epi_isl	url	Country	Region	Host	Submission Date	Location	Clade	Collection Data	Author	Exposure History	genbank_accession
France/HF1805/2020	Hauts de France	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414628		France	Europe	Human	3-7 days ago	Compiègne	A2a	2020-03-02	Albert et al		
Taiwan/NTU03/2020	Taiwan	Department of Laboratory Medicine, National Taiwan University Hospital	Microbial Genomics Core Lab, National Taiwan University Centers of Genomic and Precision Medicine	EPI_ISL_413592		Taiwan	Asia	Human	One month ago	Taipei	A2a	2020-03-02	Yeh et al		
France/HF1993/2020	Hauts de France	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414637		France	Europe	Human	3-7 days ago	Compiègne	A2a	2020-03-04	Albert et al		
France/HF2174/2020	Hauts de France	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_415654		France	Europe	Human	3-7 days ago	Compiègne	A2a	2020-03-09	Albert et al		
France/HF1995/2020	Hauts de France	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414638		France	Europe	Human	3-7 days ago	Compiègne	A2a	2020-03-04	Albert et al		
France/GE1977/2020	Grand Est	Hopital Robert Debre Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414632		France	Europe	Human	3-7 days ago	Reims	A2a	2020-03-04	Albert et al		
France/HF1684/2020	Hauts de France		National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414626		France	Europe	Human	3-7 days ago	Crépy en Valois	A2a	2020-02-29	Albert et al		
Congo/KN-13/2020	Kinshasa	Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	EPI_ISL_414647		Congo	Africa	Human	3-7 days ago		A2a	2020-03-09	Placide Mbala-Kingebeni et al		
France/IDF1980/2020	Ile de France	Centre Hospitalier Rene Dubois Laboratoire de Microbiologie - Bat A	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414633		France	Europe	Human	3-7 days ago	Pontoise	A2a	2020-03-04	Albert et al		
France/HF1871/2020	Hauts de France	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414630		France	Europe	Human	3-7 days ago	Compiègne	A2a	2020-03-03	Albert et al		
France/PL1643/2020	Pays de la Loire	Centre Hospitalier Regional Universitaire de Nantes Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414625		France	Europe	Human	3-7 days ago	Nantes	A2a	2020-02-26	Albert et al		
France/HF1986/2020	Hauts de France	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414634		France	Europe	Human	3-7 days ago	Compiègne	A2a	2020-03-04	Albert et al		
Denmark/SSI-104/2020	Hauts de France	Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.	ViFU	EPI_ISL_415648		Italy	Europe	Human	3-7 days ago		A2a	2020-03-03	Rasmussen et al		
Belgium/BA-02291/2020	Leuven	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	EPI_ISL_415159		Belgium	Europe	Human	3-7 days ago		A2a	2020-02-29	Vanmechelen et al		
Netherlands/Haarlem_1363688/2020	North Holland	MHC Kennemerland	Erasmus Medical Center	EPI_ISL_413572		Netherlands	Europe	Human	One month ago	Haarlem	A2a	2020-03-01	Nieuwenhuijse et al		
France/HF2039/2020	Hauts de France		National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_415649		France	Europe	Human	3-7 days ago	Crépy en Valois	A2a	2020-03-05	Albert et al		
France/HF1988/2020	Hauts de France	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414635		France	Europe	Human	3-7 days ago	Compiègne	A2a	2020-03-04	Albert et al		
France/HF1989/2020	Hauts de France	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414636		France	Europe	Human	3-7 days ago	Compiègne	A2a	2020-03-04	Albert et al		
Finland/FIN-455/2020	Finland	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	EPI_ISL_414642		Finland	Europe	Human	3-7 days ago		A2a	2020-03-08	Smura et al		
USA/CA-MG0987/2020	California	Andersen Lab, The Scripps Research Institute	Andersen Lab, The Scripps Research Institute	EPI_ISL_416457		USA	North America	Human	New	San Diego County	A2a	2020-03-18	Zeller et al		
Netherlands/NA_30/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415487		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-13	Nieuwenhuijse et al		
Netherlands/NA_24/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415481		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-08	Nieuwenhuijse et al		
France/HF1795/2020	Hauts de France	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414627		France	Europe	Human	3-7 days ago	Compiègne	A2a	2020-03-02	Albert et al		
USA/UPHL-05/2020	Utah	Utah Public Health Laboratory	Utah Public Health Laboratory	EPI_ISL_415543		USA	North America	Human	3-7 days ago		A2a	2020-03-13	Young et al		
USA/UPHL-06/2020	Utah	Utah Public Health Laboratory	Utah Public Health Laboratory	EPI_ISL_415544		USA	North America	Human	3-7 days ago		A2a	2020-03-13	Young et al		
France/IDF2075/2020	Ile de France	Hopital Instruction des Armees - BEGIN	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_415650		France	Europe	Human	3-7 days ago		A2a	2020-03-02	Albert et al		
USA/WA-UW96/2020	Washington	UW Virology Lab	UW Virology Lab	EPI_ISL_416452		USA	North America	Human	1-2 days ago		A2a	2020-03-10	Roychoudhury et al		
USA/WA-UW78/2020	Washington	UW Virology Lab	UW Virology Lab	EPI_ISL_416434		USA	North America	Human	1-2 days ago		A2a	2020-03-10	Roychoudhury et al		
USA/WA-UW60/2020	Washington	UW Virology Lab	UW Virology Lab	EPI_ISL_415625		USA	North America	Human	3-7 days ago		A2a	2020-03-09	Roychoudhury et al		
USA/WA-UW69/2020	Washington	UW Virology Lab	UW Virology Lab	EPI_ISL_415597		USA	North America	Human	3-7 days ago	Seattle	A2a	2020-03-10	Roychoudhury et al		
USA/WA-UW29/2020	Washington	UW Virology Lab	UW Virology Lab	EPI_ISL_414616		USA	North America	Human	3-7 days ago	Kirkland	A2a	2020-03-08	Roychoudhury et al		
USA/WA-UW82/2020	Washington	UW Virology Lab	UW Virology Lab	EPI_ISL_416438		USA	North America	Human	1-2 days ago		A2a	2020-03-10	Roychoudhury et al		
Wales/PHW27/2020	Wales	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	EPI_ISL_415655		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-03-12	Moore et al		
Netherlands/NA_28/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415485		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-12	Nieuwenhuijse et al		
Netherlands/NA_18/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415474		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-09	Nieuwenhuijse et al		
Netherlands/NA_17/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415473		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-09	Nieuwenhuijse et al		
Netherlands/NoordBrabant_17/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414457		Netherlands	Europe	Human	One week ago		A2a	2020-03-06	Nieuwenhuijse et al		
Netherlands/NoordBrabant_4/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414450		Netherlands	Europe	Human	One week ago		A2a	2020-03-06	Nieuwenhuijse et al		
France/N1620/2020	Normandie	Centre Hositalier Universitaire de Rouen Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414624		France	Europe	Human	3-7 days ago	Rouen	A2a	2020-02-26	Albert et al		
Italy/UniSR1/2020	Lombardy	Laboratorio di Microbiologia e Virologia, Universita Vita-Salute San Raffaele, Milano	Laboratorio di Microbiologia e Virologia, Universita Vita-Salute San Raffaele, Milano	EPI_ISL_413489		Italy	Europe	Human	One month ago	Milan	A2a	2020-03-03	R.A Diotti et al		
NetherlandsL/Houten_1363498/2020	Utrecht	RIVM	Erasmus Medical Center	EPI_ISL_413575		Netherlands	Europe	Human	One month ago	Houten	A2a	2020-02-29	Nieuwenhuijse et al		
Netherlands/Utrecht_3/2020	Utrecht	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414437		Netherlands	Europe	Human	One week ago		A2a	2020-03-03	Nieuwenhuijse et al		
Switzerland/TI9486/2020	Ticino	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	EPI_ISL_413996		Switzerland	Europe	Human	One week ago		A2a	2020-02-24	LAUBSCHER Florian et al. et al		
England/20102000506/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415147		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-03-01	Galiano et al		
England/20099107406/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415131		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-02-29	Galiano et al		
Switzerland/AG0361/2020	Aargau	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	EPI_ISL_413999		Switzerland	Europe	Human	One week ago		A2a	2020-02-27	LAUBSCHER Florian et al. et al		
England/200991076/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_414524		United Kingdom	Europe	Human	One week ago		A2a	2020-03-01	Galiano et al		
England/200981386/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_414010		United Kingdom	Europe	Human	One week ago		A2a	2020-02-26	Galiano et al		
Scotland/CVR05/2020	Scotland	West of Scotland Specialist Virology Centre, NHSGGC	MRC-University of Glasgow Centre for Virus Research	EPI_ISL_414027		United Kingdom	Europe	Human	One week ago		A2a	2020-03-04	Thomson et al		
Finland/FIN-266/2020	Finland	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	EPI_ISL_414646		Finland	Europe	Human	3-7 days ago		A2a	2020-03-04	Smura et al	Iran	
Finland/FIN03032020A/2020	Helsinki	Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	EPI_ISL_413602		Finland	Europe	Human	One week ago		A2a	2020-03-03	Smura et al		
England/20100022706/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415136		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-02-29	Galiano et al		
Switzerland/GE4984/2020	Geneva	Hopitaux universitaires de Geneve Laboratoire de Virologie	Hopitaux universitaires de Geneve Laboratoire de Virologie	EPI_ISL_415708		Switzerland	Europe	Human	3-7 days ago		A2a	2020-03-07	Laubscher et al		
Italy/CDG1/2020	Lombardy	Department of Infectious Diseases, Istituto Superiore di Sanita, Roma , Italy	Virology Laboratory, Scientific Department, Army Medical Center	EPI_ISL_412973		Italy	Europe	Human	One month ago		A2a	2020-02-20	Stefanelli et al		
France/GE1973/2020	Grand Est	Hopital Robert Debre Laboratoire de Virologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414631		France	Europe	Human	3-7 days ago	Reims	A2a	2020-03-04	Albert et al		
Brazil/SPBR-09/2020	Sao Paulo	National Influenza Center - Instituto Adolfo Lutz	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	EPI_ISL_416031		Brazil	South America	Human	1-2 days ago	Sao Paulo	A2a	2020-03-04	Claudio Tavares Sacchi et al		
Portugal/CV63/2020	Portugal	Centro Hospitalar e Universitario de Sao Joao, Porto	Instituto Nacional de Saude (INSA)	EPI_ISL_413648		Portugal	Europe	Human	One week ago		A2a	2020-03-01	Guiomar et al		
Netherlands/ZuidHolland_31/2020	South Holland	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415535		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-12	Nieuwenhuijse et al		
Netherlands/NA_31/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415488		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-13	Nieuwenhuijse et al		
Netherlands/NoordBrabant_13/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414453		Netherlands	Europe	Human	One week ago		A2a	2020-03-06	Nieuwenhuijse et al		
Netherlands/NoordBrabant_21/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414530		Netherlands	Europe	Human	One week ago		A2a	2020-03-04	Nieuwenhuijse et al		
Netherlands/Gelderland_2/2020	Gelderland	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415462		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-09	Nieuwenhuijse et al		
Netherlands/ZuidHolland_17/2020	South Holland	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414559		Netherlands	Europe	Human	One week ago		A2a	2020-03-07	Nieuwenhuijse et al		
Brazil/SPBR-01/2020	Sao Paulo	Hospital Israelita Albert Einstein	Instituto Adolfo Lutz Interdisciplinary Procedures Center Strategic Laboratory	EPI_ISL_412964		Brazil	South America	Human	One month ago	Sao Paulo	A2a	2020-02-25	Jaqueline Goes de Jesus et al	Lombardy	
USA/CA-PC101P/2020	California	Andersen Lab, The Scripps Research Institute	Andersen Lab, The Scripps Research Institute	EPI_ISL_414648		USA	North America	Human	3-7 days ago	San Diego County	A2a	2020-03-11	Zeller et al		MT192765
Wales/PHW1/2020	Wales	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	EPI_ISL_413555		United Kingdom	Europe	Human	One month ago		A2a	2020-02-27	Moore et al		
USA/WA-UW73/2020	Washington	UW Virology Lab	UW Virology Lab	EPI_ISL_415601		USA	North America	Human	3-7 days ago		A2a	2020-03-10	Roychoudhury et al		
USA/WA-UW25/2020	Washington	UW Virology Lab	UW Virology Lab	EPI_ISL_414594		USA	North America	Human	One week ago	King County	A2a	2020-03-05	Roychoudhury et al		
Netherlands/NA_20/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415477		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-12	Nieuwenhuijse et al		
Netherlands/NoordHolland_3/2020	North Holland	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415525		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-12	Nieuwenhuijse et al		
Netherlands/NoordBrabant_59/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415515		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-11	Nieuwenhuijse et al		
Netherlands/ZuidHolland_30/2020	South Holland	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415534		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-11	Nieuwenhuijse et al		
Netherlands/NA_13/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415469		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-10	Nieuwenhuijse et al		
Netherlands/NA_1/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415465		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-10	Nieuwenhuijse et al		
Netherlands/Flevoland_1/2020	Flevoland	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415460		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-09	Nieuwenhuijse et al		
Netherlands/NA_10/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415466		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-09	Nieuwenhuijse et al		
Luxembourg/Lux1/2020	Luxembourg	Laboratoire National de Sante	Erasmus Medical Center	EPI_ISL_413593		Luxembourg	Europe	Human	One month ago		A2a	2020-02-29	Nieuwenhuijse et al		
Scotland/EDB013/2020	Scotland	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian	EPI_ISL_415639		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-03-10	McHugh et al		
Scotland/EDB003/2020	Scotland	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian	EPI_ISL_415640		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-03-08	McHugh et al		
Denmark/SSI-101/2020	Scotland	Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.	ViFU	EPI_ISL_415646		Italy	Europe	Human	3-7 days ago		A2a	2020-03-03	Rasmussen et al		
Ireland/Limerick-19933/2020	Limerick	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory	EPI_ISL_414585		Ireland	Europe	Human	One week ago		A2a	2020-03-03	Carr et al		
Wales/PHW17/2020	Wales	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	EPI_ISL_416027		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-03-09	Moore et al		
England/20110003506/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415150		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-03-09	Galiano et al		
Netherlands/NA_16/2020	Netherlands	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_415472		Netherlands	Europe	Human	3-7 days ago		A2a	2020-03-11	Nieuwenhuijse et al		
Ireland/Limerick-19934/2020	Limerick	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory	EPI_ISL_414586		Ireland	Europe	Human	One week ago		A2a	2020-03-03	Carr et al		
USA/CT-Yale-006/2020	Connecticut	Yale Clinical Virology Laboratory	Grubaugh Lab - Yale School of Public Health	EPI_ISL_416420		USA	North America	Human	1-2 days ago		A2a	2020-03-13	Fauver et al		
Belgium/SH-03014/2020	Huldenberg	KU Leuven, Clinical and Epidemiological Virology	KU Leuven, Clinical and Epidemiological Virology	EPI_ISL_415156		Belgium	Europe	Human	3-7 days ago		A2a	2020-03-01	Vanmechelen et al		
Netherlands/NoordBrabant_1/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414428		Netherlands	Europe	Human	One week ago		A2a	2020-03-02	Nieuwenhuijse et al		
England/201040081/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_414525		United Kingdom	Europe	Human	One week ago		A2a	2020-03-02	Galiano et al		
Denmark/SSI-09/2020	Copenhagen	Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.	Statens Serum Institute	EPI_ISL_416141		Denmark	Europe	Human	1-2 days ago		A2a	2020-03-03	Rasmussen et al		
Netherlands/Zeewolde_1365080/2020	Flevoland	MHC Flevoland	Erasmus Medical Center	EPI_ISL_413591		Netherlands	Europe	Human	One month ago	Zeewolde	A2a	2020-03-02	Nieuwenhuijse et al		
Netherlands/Blaricum_1364780/2020	North Brabant	MHC Gooi & Vechtstreek	Erasmus Medical Center	EPI_ISL_413566		Netherlands	Europe	Human	One month ago	Blaricum	A2a	2020-03-02	Nieuwenhuijse et al		
Georgia/Tb-477/2020	Tbilisi	R. G. Lugar Center for Public Health Research,  National Center for Disease Control and Public Health (NCDC) of Georgia.	R. G. Lugar Center for Public Health Research,  National Center for Disease Control and Public Health (NCDC) of Georgia.	EPI_ISL_415642		Georgia	Asia	Human	3-7 days ago		A2a	2020-03-10	Kotaria et al		
Scotland/EDB004/2020	Scotland	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian	EPI_ISL_415629		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-03-04	McHugh et al		
Netherlands/NoordBrabant_16/2020	North Brabant	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414456		Netherlands	Europe	Human	One week ago		A2a	2020-03-04	Nieuwenhuijse et al		
Brazil-RJ/314/2020	Rio de Janeiro	LACEN RJ - Laboratorio Central de Saude Publica Noel Nutels	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)	EPI_ISL_414045		Brazil	South America	Human	One week ago	Rio de Janeiro	A2a	2020-03-04	Resende et al		
Switzerland/GE5373/2020	Geneva	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	EPI_ISL_414020		Switzerland	Europe	Human	One week ago		A2a	2020-02-27	LAUBSCHER Florian et al. et al		
Switzerland/GE3121/2020	Geneva	Laboratoire de Virologie, HUG	Swiss National Reference Centre for Influenza	EPI_ISL_414019		Switzerland	Europe	Human	One week ago		A2a	2020-02-27	LAUBSCHER Florian et al. et al		
Hungary/mbl1/2020	Central Hungary	Virological Research Group, Szentagothai Research Centre, University of Pecs	Bioinformatics Research Group, Szentagothai Research Centre, University of Pecs	EPI_ISL_416426		Hungary	Europe	Human	1-2 days ago	Budapest	A2a	2020-03-17	Urban et al		
Panama/328677/2020	Panama City	Gorgas Memorial Institute for Health Studies	Gorgas Memorial Institute for Health Studies	EPI_ISL_415152		Panama	Central America	Human	3-7 days ago		A2a	2020-03-06	Franco et al	Comunitat Valenciana	
Spain/Valencia1/2020	Comunitat Valenciana	Servicio Microbiologia. Hospital Clinico Universitario. Valencia.	Sequencing and Bioinformatics Service. Molecular Epidemiology Laboratory. FISABIO-Public Health	EPI_ISL_414495		Spain	Europe	Human	One week ago	Valencia	A2a	2020-03-08	Navarro et al		MT198653
France/BFC2147/2020	Bourgogne-France-Comté		National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_415652		France	Europe	Human	3-7 days ago	Thise	A2a	2020-03-05	Albert et al		
France/HF1870/2020	Hauts de France	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_414629		France	Europe	Human	3-7 days ago	Compiègne	A2a	2020-03-03	Albert et al		
France/BFC2094/2020	Bourgogne-France-Comté		National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_415651		France	Europe	Human	3-7 days ago	Montreux-Chateau	A2a	2020-03-05	Albert et al		
Switzerland/GE6679/2020	Geneva	Hopitaux universitaires de Geneve Laboratoire de Virologie	Hopitaux universitaires de Geneve Laboratoire de Virologie	EPI_ISL_415707		Switzerland	Europe	Human	3-7 days ago		A2a	2020-03-08	Laubscher et al		
France/HF2151/2020	Hauts de France	Centre Hospitalier Compiegne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	EPI_ISL_415653		France	Europe	Human	3-7 days ago	Compiègne	A2a	2020-03-08	Albert et al		
Switzerland/BE2536/2020	Bern	Hopitaux universitaires de Geneve Laboratoire de Virologie	Hopitaux universitaires de Geneve Laboratoire de Virologie	EPI_ISL_415704		Switzerland	Europe	Human	3-7 days ago		A2a	2020-03-04	Laubscher  et al		
Switzerland/GE062072020	Geneva	Hopitaux universitaires de Geneve Laboratoire de Virologie	Hopitaux universitaires de Geneve Laboratoire de Virologie	EPI_ISL_415706		Switzerland	Europe	Human	3-7 days ago		A2a	2020-03-06	Laubscher et al		
Switzerland/GE4135/2020	Geneva	Hopitaux universitaires de Geneve Laboratoire de Virologie	Hopitaux universitaires de Geneve Laboratoire de Virologie	EPI_ISL_415705		Switzerland	Europe	Human	3-7 days ago		A2a	2020-03-06	Laubscher  et al		
Scotland/CVR03/2020	Scotland	West of Scotland Specialist Virology Centre, NHSGGC	MRC-University of Glasgow Centre for Virus Research	EPI_ISL_414025		United Kingdom	Europe	Human	One week ago		A2a	2020-03-01	Thomson et al		
Netherlands/Utrecht_11/2020	Utrecht	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414443		Netherlands	Europe	Human	One week ago		A2a	2020-03-03	Nieuwenhuijse et al		
Ireland/Limerick-19935/2020	Limerick	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory	EPI_ISL_414587		Ireland	Europe	Human	One week ago		A2a	2020-03-03	Carr et al		
CzechRepublic/951/2020	Usti nad Labem	The National Institute of Public Health Center for Epidemiology and Microbiology	State Veterinary Institute Prague	EPI_ISL_414477		Czech Republic	Europe	Human	One week ago		A2a	2020-03-01	Nagy et al	Italy	
England/20102000306/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415146		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-03-01	Galiano et al		
Netherlands/Utrecht_8/2020	Utrecht	Dutch COVID-19 response team	Erasmus Medical Center	EPI_ISL_414441		Netherlands	Europe	Human	One week ago		A2a	2020-03-03	Nieuwenhuijse et al		
Brazil/SPBR-06/2020	Sao Paulo	Hospital Sao Joaquim Beneficencia Portuguesa	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	EPI_ISL_414015		Brazil	South America	Human	One week ago	Sao Paulo	A2a	2020-02-29	Claudio Tavares Sacchi et al		
Brazil/SPBR-05/2020	Sao Paulo	Hospital Sao Joaquim Beneficencia Portuguesa	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	EPI_ISL_414016		Brazil	South America	Human	One week ago	Sao Paulo	A2a	2020-02-29	Claudio Tavares Sacchi et al		
NorthernIreland/HSCNI01/2020	Northern Ireland	Regional Virus Laboratory, Belfast	Public Health Wales Microbiology Cardiff	EPI_ISL_414949		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-02-26	Curran et al		
England/20100121006/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415140		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-02-29	Galiano et al		
England/20100121007/2020	England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	EPI_ISL_415141		United Kingdom	Europe	Human	3-7 days ago		A2a	2020-02-29	Galiano et al		
